"Period","Derived_Total","Measure","Value"
2016-06-30,"Total Income","Compensation of Employees",28421
2016-09-30,"Total Income","Compensation of Employees",28710
2016-12-31,"Total Income","Compensation of Employees",28706
2017-03-31,"Total Income","Compensation of Employees",29623
2017-06-30,"Total Income","Compensation of Employees",29835
2017-09-30,"Total Income","Compensation of Employees",30310
2017-12-31,"Total Income","Compensation of Employees",30996
2018-03-31,"Total Income","Compensation of Employees",31376
2018-06-30,"Total Income","Compensation of Employees",31806
2018-09-30,"Total Income","Compensation of Employees",32195
2018-12-31,"Total Income","Compensation of Employees",33157
2019-03-31,"Total Income","Compensation of Employees",33072
2019-06-30,"Total Income","Compensation of Employees",33900
2019-09-30,"Total Income","Compensation of Employees",34491
2019-12-31,"Total Income","Compensation of Employees",35050
2020-03-31,"Total Income","Compensation of Employees",35615
2020-06-30,"Total Income","Compensation of Employees",34360
2020-09-30,"Total Income","Compensation of Employees",35818
2020-12-31,"Total Income","Compensation of Employees",36508
2021-03-31,"Total Income","Compensation of Employees",37412
2021-06-30,"Total Income","Compensation of Employees",38344
2021-09-30,"Total Income","Compensation of Employees",38925
2021-12-31,"Total Income","Compensation of Employees",40326
2022-03-31,"Total Income","Compensation of Employees",40622
2022-06-30,"Total Income","Compensation of Employees",41516
2022-09-30,"Total Income","Compensation of Employees",42701
2022-12-31,"Total Income","Compensation of Employees",43201
2023-03-31,"Total Income","Compensation of Employees",43990
2023-06-30,"Total Income","Compensation of Employees",44988
2023-09-30,"Total Income","Compensation of Employees",45987
2023-12-31,"Total Income","Compensation of Employees",46705
2024-03-31,"Total Income","Compensation of Employees",47261
2024-06-30,"Total Income","Compensation of Employees",47623
2024-09-30,"Total Income","Compensation of Employees",47569
2024-12-31,"Total Income","Compensation of Employees",47449
2025-03-31,"Total Income","Compensation of Employees",48095
2025-06-30,"Total Income","Compensation of Employees",48138
2016-06-30,"Payments","Consumption of Fixed Capital",1233
2016-09-30,"Payments","Consumption of Fixed Capital",1264
2016-12-31,"Payments","Consumption of Fixed Capital",1297
2017-03-31,"Payments","Consumption of Fixed Capital",1329
2017-06-30,"Payments","Consumption of Fixed Capital",1333
2017-09-30,"Payments","Consumption of Fixed Capital",1371
2017-12-31,"Payments","Consumption of Fixed Capital",1400
2018-03-31,"Payments","Consumption of Fixed Capital",1433
2018-06-30,"Payments","Consumption of Fixed Capital",1435
2018-09-30,"Payments","Consumption of Fixed Capital",1464
2018-12-31,"Payments","Consumption of Fixed Capital",1494
2019-03-31,"Payments","Consumption of Fixed Capital",1522
2019-06-30,"Payments","Consumption of Fixed Capital",1523
2019-09-30,"Payments","Consumption of Fixed Capital",1550
2019-12-31,"Payments","Consumption of Fixed Capital",1584
2020-03-31,"Payments","Consumption of Fixed Capital",1616
2020-06-30,"Payments","Consumption of Fixed Capital",1644
2020-09-30,"Payments","Consumption of Fixed Capital",1661
2020-12-31,"Payments","Consumption of Fixed Capital",1669
2021-03-31,"Payments","Consumption of Fixed Capital",1681
2021-06-30,"Payments","Consumption of Fixed Capital",1810
2021-09-30,"Payments","Consumption of Fixed Capital",1873
2021-12-31,"Payments","Consumption of Fixed Capital",1945
2022-03-31,"Payments","Consumption of Fixed Capital",2037
2022-06-30,"Payments","Consumption of Fixed Capital",2061
2022-09-30,"Payments","Consumption of Fixed Capital",2181
2022-12-31,"Payments","Consumption of Fixed Capital",2287
2023-03-31,"Payments","Consumption of Fixed Capital",2376
2023-06-30,"Payments","Consumption of Fixed Capital",2308
2023-09-30,"Payments","Consumption of Fixed Capital",2375
2023-12-31,"Payments","Consumption of Fixed Capital",2427
